shape_id	reason	count
19e8851fae228c8e	EventKindNotInConvention[ScopeExit]	3487
19e8861fae228e41	EventKindNotInConvention[ScopeEnter]	3487
19e87c1fae227d43	EventKindNotInConvention[Condition]	1688
19e87b1fae227b90	EventKindNotInConvention[Branch]	1617
19e87d1fae227ef6	EventKindNotInConvention[Call]	1260
19e87e1fae2280a9	EventKindNotInConvention[Decl]	353
19e88a1fae22950d	EventKindNotInConvention[Cast]	346
19e8891fae22935a	EventKindNotInConvention[Param]	139
19e8881fae2291a7	EventKindNotInConvention[Break]	69
19e8871fae228ff4	EventKindNotInConvention[Return]	26

# addressed residuals
ore_seq	reason	facet_hex
0	EventKindNotInConvention[ScopeEnter]	00000000000000000000000c00000000
1	EventKindNotInConvention[Decl]	00000000000000000000000400010001
2	EventKindNotInConvention[Decl]	00000000000000000000000400020003
3	EventKindNotInConvention[ScopeEnter]	00000000000000000001010c00030004
4	EventKindNotInConvention[Call]	00000000000000000001010500040000
6	EventKindNotInConvention[Condition]	00000000000000000001010600060000
